classifier_name,dataset_name,accuracy
PrevWeek,3281,"0,988971063298017"
PrevWeek,5701,"0,213235550204954"
PrevWeek,37831,"0,22242738560592"
PrevWeek,22451,"0,170956059095523"
PrevWeek,24864,"0,163603592581035"
PrevWeek,29521,"0,181066651388889"
PrevWeek,49561,"0,145220686837001"
PrevWeek,20592,"0,0863975758136196"
PrevWeek,47193,"0,209559594118278"
PrevWeek,6207,"0,275735305623488"
PrevWeek,25598,"0,128676876350935"
PrevWeek,12970,"0,133272193476418"
PrevWeek,29636,"1,00000003907771"
PrevWeek,24172,"0,148897345041175"
PrevWeek,23604,"0,144301712881202"
PrevWeek,938,"0,221507942092361"
PrevWeek,23800,"0,210478794762313"
PrevWeek,33249,"0,132352991504188"
PrevWeek,14979,"1,00000056323439"
PrevWeek,3232,"0,265625982910025"
PrevWeek,41232,"0,174633133787727"
PrevWeek,15087,"0,325368208152874"
PrevWeek,13844,"0,175551470639711"
PrevWeek,12819,"1,00000048517578"
PrevWeek,49184,"0,346507615644289"
PrevWeek,21798,"0,166360365257612"
PrevWeek,23592,"0,154412725948416"
PrevWeek,40365,"0,16911784639238"
PrevWeek,10917,"0,183824265821078"
PrevWeek,41688,"0,115809554748285"
PrevWeek,42663,"0,143382783237695"
PrevWeek,21229,"0,159007520496687"
PrevWeek,43586,"0,142463490724554"
PrevWeek,39404,"0,217831243077305"
PrevWeek,36692,"0,260111219828543"
PrevWeek,23209,"0,174633330643125"
PrevWeek,32157,"0,215993525235301"
PrevWeek,26070,"0,161765381838204"
PrevWeek,16286,"0,157169763186404"
PrevWeek,20545,"0,192095960471828"
PrevWeek,4691,"0,125000578116172"
PrevWeek,31646,"1,00000049180448"
PrevWeek,21472,"0,121324218469601"
PrevWeek,14674,"0,147978145415895"
PrevWeek,18786,"0,151654478238769"
PrevWeek,8473,"0,195772152228842"
PrevWeek,19039,"0,235294221173824"
PrevWeek,48409,"0,197611228070524"
PrevWeek,36465,"0,610294685633286"
PrevWeek,31839,"0,251839171972166"
PrevWeek,24920,"0,170037464129221"
PrevWeek,27487,"0,227022584641808"
PrevWeek,25587,"0,48437517130733"
PrevWeek,6238,"0,165441302989738"
PrevWeek,1815,"0,224265005192314"
PrevWeek,43327,"0,211397627689709"
PrevWeek,32701,"0,182904477949619"
PrevWeek,30781,"0,78860369049123"
PrevWeek,38196,"0,150735574350623"
PrevWeek,24860,"0,177390128231716"
PrevWeek,32506,"0,207721114370614"
PrevWeek,34249,"0,124081525317039"
PrevWeek,36081,"0,164522343499745"
PrevWeek,2539,"1,00000024039817"
PrevWeek,20981,"0,132353398772111"
PrevWeek,6382,"0,169118539753992"
PrevWeek,13442,"0,139706600924353"
PrevWeek,26859,"0,16636034913217"
PrevWeek,15642,"0,125920030434897"
PrevWeek,31443,"0,17187588443959"
PrevWeek,3607,"0,352022489026281"
PrevWeek,38470,"1,00000020925955"
PrevWeek,7407,"0,222426827628419"
PrevWeek,23636,"0,678309571392738"
PrevWeek,16978,"0,23069950448157"
PrevWeek,11678,"0,120404444783872"
PrevWeek,46404,"0,184743507549596"
PrevWeek,37846,"0,160846437599259"
PrevWeek,31103,"0,153493239985518"
PrevWeek,43272,"0,164522273665912"
PrevWeek,30461,"0,139706347552195"
PrevWeek,37234,"0,168198731415515"
PrevWeek,36617,"0,108456743893467"
PrevWeek,4469,"0,158089088246003"
PrevWeek,7417,"0,209559468666414"
PrevWeek,12601,"0,179228578471862"
PrevWeek,13159,"0,146140568319584"
PrevWeek,17306,"0,362132935350985"
PrevWeek,45259,"0,182904732928045"
PrevWeek,22390,"0,574449309208217"
PrevWeek,46307,"1,00000059161308"
PrevWeek,16744,"0,177389944974968"
PrevWeek,21575,"0,15716924044073"
PrevWeek,38826,"0,206801640568076"
PrevWeek,28142,"0,157169826504816"
PrevWeek,13074,"0,178309542374301"
PrevWeek,15334,"0,480698538467625"
PrevWeek,31519,"0,150735497667026"
PrevWeek,48385,"0,170037154442071"
PrevWeek,43250,"1,00000025636215"
PrevWeek,46832,"0,218750601728386"
PrevWeek,45821,"0,257353139794145"
PrevWeek,20924,"0,42739005992353"
PrevWeek,8000,"0,156250365974406"
PrevWeek,5204,"1,00000086774231"
PrevWeek,21627,"0,203125666419604"
PrevWeek,880,"0,138787195921167"
PrevWeek,21878,"0,188419528345592"
PrevWeek,27043,"0,3152576151439"
PrevWeek,24974,"0,173714226107341"
PrevWeek,35361,"0,150735599544515"
PrevWeek,4523,"0,102022813028643"
PrevWeek,46588,"1,00000009941791"
PrevWeek,19258,"0,253676525607172"
PrevWeek,2572,"0,25551532889447"
